Year,Name,Position,Age,College,Conference,Games,Seasons,Height,Weight,40 Yard,Bench,Broad Jump,Shuttle,3 Cone,Vertical,Pass Att,Pass Completions,Pass Yds,Pass TD,Pass Int,Passer Rating,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo Tackles,Ast Tackles,Total Tackles,Tackles for Loss,Sacks,Int,Int Return Yards,Int TD,Pass Deflection,Fumble Recovery,Fumble Return Yards,Fumble TD,Forced Fumbles,PRs,PR Yds,PR TD,KRs,KR Yds,KR TD,XPA,XP%,FGA,FG%,Punts,Punt Avg
2008,D.J. Chark,WR,21,Louisville,SEC,25,3,75,199,4.34,16,129,3.89,6.5,40,0,0,0,0,0,0,25,264,4,66,1351,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,18,190,2,0,0,0,0,0,0
2008,Geron Christian,OT,22,North Carolina St.,ACC,41,4,77,298,5.33,19,106,4.75,7.45,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Bradley Chubb,DE,22,Georgia,ACC,40,4,76,269,4.65,24,121,4.41,7.37,36,0,0,0,0,0,0,0,0,0,0,0,0,100,98,198,54.5,25,1,0,0,4,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2008,Nick Chubb,RB,22,Wisconsin,SEC,47,4,71,227,4.52,29,128,4.25,7.09,38.5,0,0,0,0,0,0,758,4769,44,31,361,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Jack Cichy,ILB,21,LSU,Big Ten,20,3,74,238,4.72,18,118,4.28,7.06,33.5,0,0,0,0,0,0,0,0,0,0,0,0,78,43,121,15,6.5,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2008,Will Clapp,C,22,Indiana,0,41,4,76,311,5.39,25,97,4.92,8.04,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Simmie Cobbs,WR,21,Michigan,Big Ten,30,3,75,220,4.64,11,113,4.32,6.7,30,0,0,0,0,0,0,0,0,1,139,1990,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0
2008,Mason Cole,C,22,Washington,0,41,4,76,307,5.23,23,104,4.78,7.77,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Lavon Coleman,RB,22,Central Michigan,Pac-12,46,4,71,215,4.65,23,120,4.28,6.99,33,0,0,0,0,0,0,374,2000,12,31,252,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Tyler Conklin,TE,21,Nevada,MAC,28,3,75,254,4.8,18,120,4.23,7.13,38,0,0,0,0,0,0,0,0,0,83,1159,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Austin Corbett,G,22,Texas Tech,MWC,41,4,76,306,5.15,19,106,4.5,7.87,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Keke Coutee,WR,21,Indiana,Big 12,30,3,70,181,4.43,14,113,4.15,6.93,34.5,0,0,0,0,0,0,8,17,1,159,2424,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,16,412,1,0,0,0,0,0,0
2008,Chris Covington,OLB,22,West Virginia,Big Ten,27,4,74,245,4.78,23,111,4.57,7.43,29,0,0,0,0,0,0,0,0,0,0,0,0,70,48,118,15,5,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,Justin Crawford,RB,20,Oregon,Big 12,25,2,71,199,4.64,11,122,4.21,7.03,33.5,0,0,0,0,0,0,354,2244,11,22,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Tyrell Crosby,OT,22,Arizona,0,41,4,77,309,5.23,17,105,4.77,7.89,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Dane Cruikshank,S,20,Tennessee,Pac-12,25,2,73,206,4.41,25,121,4.24,6.89,38.5,0,0,0,0,0,0,0,0,0,0,0,0,108,26,134,6,1,5,68,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,Trevor Daniel,P,21,Iowa,SEC,38,3,73,230,4.98,23,119,4.83,7.88,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,45.9
2008,James Daniels,C,22,USC,Big Ten,41,4,75,306,5.2,21,108,4.4,7.29,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Sam Darnold,QB,20,Texas-San Antonio,Pac-12,27,2,75,221,4.85,24,105,4.4,6.96,26.5,846,549,7229,57,22,153.7,137,332,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Marcus Davenport,DE,22,Bowling Green,CUSA,43,4,78,264,4.58,22,124,4.41,7.2,33.5,0,0,0,0,0,0,0,0,0,0,0,0,95,90,185,37.5,21.5,0,0,0,8,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
2008,Joseph Davidson,P,21,Auburn,MAC,38,3,79,232,4.94,10,122,4.56,7.4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,45.2
2008,Carlton Davis,CB,21,Florida,SEC,36,3,73,203,4.53,16,124,4.07,6.75,34,0,0,0,0,0,0,0,0,0,0,0,0,101,35,136,3.5,0.5,4,0,0,28,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2008,Duke Dawson,CB,22,Miami,SEC,32,4,70,208,4.46,15,132,3.97,6.86,36,0,0,0,0,0,0,0,0,0,0,0,0,56,25,81,6.5,0,6,127,3,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2008,Dee Delaney,CB,22,North Dakota St.,ACC,8,1,73,194,4.46,13,120,4.25,6.95,32.5,0,0,0,0,0,0,0,0,0,0,0,0,24,15,39,1.5,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Jamil Demby,G,22,Maine,0,41,4,76,319,5.58,17,98,4.95,7.86,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Matt Dickerson,DE,22,Texas,Pac-12,29,4,76,292,5.06,26,105,4.46,7.56,31,0,0,0,0,0,0,0,0,0,0,0,0,49,45,94,6.5,0.5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Michael Dickson,P,21,Washington,Big 12,37,3,74,208,5.33,11,114,4.71,7.61,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,45.3
2008,Will Dissly,TE,22,Wisconsin,Pac-12,24,4,76,262,4.87,15,111,4.4,7.07,28,0,0,0,0,0,0,0,0,0,25,336,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Garret Dooley,EDGE,21,Fordham,Big Ten,30,3,75,248,4.8,21,121,4.28,7.1,33,0,0,0,0,0,0,0,0,0,0,0,0,42,40,82,17,9.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Terrell Edmunds,S,21,Virginia Tech,ACC,35,3,74,220,4.47,25,134,4.25,6.79,41.5,0,0,0,0,0,0,0,0,0,0,0,0,101,95,196,8.5,1.5,6,98,0,14,2,0,0,1,0,0,0,1,19,0,0,0,0,0,0,0
2008,Tremaine Edmunds,LB,19,Wake Forest,ACC,32,3,77,253,4.54,19,117,4.22,7.01,33.5,0,0,0,0,0,0,0,0,0,0,0,0,112,101,213,33,10,1,9,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2008,Duke Ejiofor,DE,22,Texas,ACC,38,4,76,264,4.73,19,125,4.5,7.23,34,0,0,0,0,0,0,0,0,0,0,0,0,80,53,133,43.5,24,1,1,0,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2008,Deshon Elliott,S,21,Western Michigan,Big 12,26,3,74,205,4.58,15,121,4.23,6.9,36,0,0,0,0,0,0,0,0,0,0,0,0,84,21,105,11.5,2.5,9,156,2,13,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2008,Leighton Vander esch,ILB,21,LSU,MWC,28,3,76,256,4.65,20,124,4.15,6.88,39.5,0,0,0,0,0,0,0,0,0,0,0,0,128,60,188,13,5,3,47,0,6,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2008,Danny Etling,QB,22,Alabama,SEC,37,4,74,222,4.76,30,114,4.37,7.09,30.5,544,325,4586,27,7,144.4,113,174,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Rashaan Evans,LB,22,Virginia Tech,SEC,42,4,75,232,4.71,17,116,4.36,6.95,30,0,0,0,0,0,0,0,0,0,0,0,0,84,66,150,23.5,15,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2008,Brandon Facyson,CB,23,Washington St.,ACC,51,5,74,197,4.53,16,116,4.18,6.74,32,0,0,0,0,0,0,0,0,0,0,0,0,91,40,131,9,0,5,0,0,39,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2008,Luke Falk,QB,22,Indiana,Pac-12,42,4,76,215,4.85,25,103,4.39,7.3,26.5,2054,1403,14481,119,39,142.8,251,-400,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Rashard Fant,CB,22,Connecticut,Big Ten,49,4,70,175,4.45,4,111,4.06,6.75,28.5,0,0,0,0,0,0,0,0,0,0,0,0,118,14,132,5.5,0.5,5,68,1,53,3,0,0,0,1,11,0,6,53,0,0,0,0,0,0,0
2008,Riley Ferguson,QB,20,Utah,American,26,2,75,212,4.98,17,110,4.4,6.96,29,917,579,7955,70,19,157.1,125,-48,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Kylie Fitts,EDGE,22,Alabama,Pac-12,22,4,76,263,4.69,31,117,4.19,6.88,32.5,0,0,0,0,0,0,0,0,0,0,0,0,36,31,67,13,11.5,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2008,Minkah Fitzpatrick,DB,21,Oklahoma,SEC,42,3,73,201,4.46,14,121,4.26,7.05,33,0,0,0,0,0,0,0,0,0,0,0,0,110,61,171,16.5,5,9,274,4,24,0,0,0,2,1,39,0,1,16,1,0,0,0,0,0,0
2008,Dimitri Flowers,RB,22,South Florida,Big 12,13,1,74,248,4.83,17,109,4.53,7.45,30.5,0,0,0,0,0,0,14,22,4,26,464,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Quinton Flowers,QB,22,Oklahoma St.,American,43,4,70,214,4.63,35,112,4.57,6.81,30.5,980,565,8124,71,23,146.5,598,3672,41,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0
2008,Tre Flowers,S,22,Alabama,Big 12,51,4,75,200,4.45,18,122,4.32,6.87,34.5,0,0,0,0,0,0,0,0,0,0,0,0,209,75,284,8,0,4,17,0,25,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2008,Robert Foster,WR,22,Stephen F. Austin,SEC,19,4,74,196,4.41,20,116,4.2,6.9,31,0,0,0,0,0,0,2,7,0,35,389,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Jarvion Franklin,RB,22,Alabama,MAC,52,4,71,239,4.63,18,109,4.31,6.93,30,0,0,0,0,0,0,942,4867,52,61,670,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Joshua Frazier,DT,22,Wisconsin,SEC,23,4,76,321,5.29,21,97,4.58,7.68,29,0,0,0,0,0,0,0,0,0,0,0,0,11,17,28,4.5,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,Royce Freeman,RB,22,Colorado St.,Pac-12,51,4,71,229,4.54,17,118,4.16,6.9,34,0,0,0,0,0,0,947,5621,60,79,814,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Troy Fumagalli,TE,22,Nebraska,Big Ten,47,4,77,247,4.74,14,116,4.25,7.18,34,0,0,0,0,0,0,0,0,0,135,1627,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0
2008,Michael Gallup,WR,20,Tennessee,MWC,26,2,73,205,4.51,10,122,4.37,6.95,36,0,0,0,0,0,0,4,15,0,176,2690,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Nick Gates,OT,22,Penn St.,Big Ten,41,4,77,307,5.46,20,94,4.68,7.61,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Rashaan Gaulden,CB,21,South Dakota St.,SEC,31,3,73,193,4.61,8,119,4.33,7.16,30,0,0,0,0,0,0,0,0,0,0,0,0,92,45,137,9.5,1,1,0,0,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,Mike Gesicki,TE,22,Appalachian St.,Big Ten,45,4,77,247,4.54,22,129,4.1,6.76,41.5,0,0,0,0,0,0,0,0,0,129,1481,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
