"Year","Name","Position","Age","Round","Pick","College","Conference","Games","Seasons","Height","Weight","X40.Yard","Bench","Broad.Jump","Shuttle","X3.Cone","Vertical","Pass.Att","Pass.Completions","Pass.Yds","Pass.TD","Pass.Int","Passer.Rating","Rush.Att","Rush.Yds","Rush.TD","Rec","Rec.Yds","Rec.TD","Solo.Tackles","Ast.Tackles","Total.Tackles","Tackles.for.Loss","Sacks","Int","Int.Return.Yards","Int.TD","Pass.Deflection","Fumble.Recovery","Fumble.Return.Yards","Fumble.TD","Forced.Fumbles","PRs","PR.Yds","PR.TD","KRs","KR.Yds","KR.TD","XPA","XP.","FGA","FG.","Punts","Punt.Avg"
2016,"Austin Johnson","NT",22,2,43,"Penn St.","Big Ten",35,3,76,314,5.32,25,96,4.75,7.84,26,0,0,0,0,0,0,0,0,0,0,0,0,63,91,154,24,8.5,0,0,0,5,4,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Jihad Ward","DE",22,2,44,"Illinois","Big Ten",24,2,77,297,5.11,20,111,4.63,7.38,25,0,0,0,0,0,0,0,0,0,0,0,0,47,57,104,13,5.5,0,0,0,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Derrick Henry","RB",22,2,45,"Alabama","SEC",39,3,75,247,4.54,22,130,4.38,7.2,37,0,0,0,0,0,0,602,3591,42,17,285,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"A'Shawn Robinson","DT",21,2,46,"Alabama","American",43,4,76,307,5.2,22,106,4.74,7.8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Michael Thomas","WR",23,2,47,"Ohio St.","Big Ten",39,3,75,212,4.57,18,126,4.13,6.8,35,0,0,0,0,0,0,0,0,0,113,1602,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Jason Spriggs","T",22,2,48,"Indiana","Big Ten",41,4,78,301,4.94,31,115,4.44,7.7,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Jarran Reed","DT",23,2,49,"Alabama","SEC",28,2,75,307,5.21,0,104,4.75,7.77,31,0,0,0,0,0,0,0,0,0,0,0,0,39,72,111,11,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Nick Martin","G",23,2,50,"Notre Dame","CUSA",41,4,76,299,5.22,28,97,4.72,7.57,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Christian Hackenberg","QB",21,2,51,"Penn St.","Big Ten",38,3,76,223,4.78,0,114,4.33,7.04,31,1235,693,8457,48,31,121.4,208,-242,6,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Deion Jones","OLB",21,2,52,"LSU","SEC",30,3,73,222,4.59,0,120,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,79,85,164,21,5,2,26,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Su'a Cravens","OLB",21,2,53,"USC","Pac-12",40,3,73,226,4.58,16,114,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,134,73,207,34.5,10.5,9,133,1,16,1,0,0,4,1,33,0,1,1,0,0,0,0,0,0,0
2016,"Mackensie Alexander","CB",22,2,54,"Clemson","ACC",23,2,70,190,4.43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,11,44,4,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Tyler Boyd","WR",21,2,55,"Pittsburgh","ACC",38,3,73,197,4.58,11,119,4.35,6.9,34,0,0,0,0,0,0,63,520,1,254,3361,21,0,0,0,0,0,0,0,0,0,0,0,0,0,27,238,1,46,1124,0,0,0,0,0,0,0
